time="2023-07-13 18:04:05" level=info msg="start server...\r\ngo：http://0.0.0.0:8081"
time="2023-07-13 18:05:43" level=info msg="start server...\r\ngo：http://0.0.0.0:8081"
time="2023-07-13 18:05:48" level=info msg="| 200 |      21.209ms |       127.0.0.1 | GET | / |"
time="2023-07-13 18:08:03" level=info msg="| 200 |     17.0689ms |       127.0.0.1 | GET | /chatIndex?kefu_id=kefu |"
time="2023-07-13 18:08:04" level=info msg="| 200 |    747.3207ms |       127.0.0.1 | POST | /visitor_login |"
time="2023-07-13 18:08:10" level=info msg="| 200 |     19.5519ms |       127.0.0.1 | GET | /main |"
time="2023-07-13 18:08:10" level=info msg="| 200 |   19.7866481s |       127.0.0.1 | GET | /ws_kefu?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjcmVhdGVfdGltZSI6MTY4OTI0Mjg2OCwia2VmdV9pZCI6MSwibmFtZSI6ImtlZnUyIiwicm9sZV9pZCI6MSwidHlwZSI6ImtlZnUifQ.eYcBkfhHYyyXZ7wmEG9L6zT10rFWkGwjvhCBpMWerWY |"
time="2023-07-13 18:08:10" level=info msg="| 200 |     18.8044ms |       127.0.0.1 | GET | /chat_main |"
time="2023-07-13 18:08:10" level=info msg="| 200 |    361.5142ms |       127.0.0.1 | POST | /check_auth |"
time="2023-07-13 18:08:11" level=info msg="| 200 |       851.9µs |       127.0.0.1 | GET | /visitors_kefu_online |"
time="2023-07-13 18:08:12" level=info msg="| 200 |    358.0233ms |       127.0.0.1 | GET | /ipblacks |"
time="2023-07-13 18:08:12" level=info msg="| 200 |    716.4519ms |       127.0.0.1 | GET | /kefuinfo |"
time="2023-07-13 18:08:12" level=info msg="| 200 |    725.1088ms |       127.0.0.1 | GET | /replys |"
time="2023-07-13 18:08:15" level=info msg="| 200 |     13.8313ms |       127.0.0.1 | GET | /setting |"
time="2023-07-13 18:08:15" level=info msg="| 200 |    3.1713498s |       127.0.0.1 | GET | /ws_kefu?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjcmVhdGVfdGltZSI6MTY4OTI0Mjg2OCwia2VmdV9pZCI6MSwibmFtZSI6ImtlZnUyIiwicm9sZV9pZCI6MSwidHlwZSI6ImtlZnUifQ.eYcBkfhHYyyXZ7wmEG9L6zT10rFWkGwjvhCBpMWerWY |"
time="2023-07-13 18:08:15" level=info msg="| 200 |     11.9673ms |       127.0.0.1 | GET | /setting_statistics |"
time="2023-07-13 18:08:16" level=info msg="| 200 |    367.3106ms |       127.0.0.1 | GET | /statistics |"
time="2023-07-13 18:08:18" level=info msg="| 200 |     15.9357ms |       127.0.0.1 | GET | /setting_avator |"
time="2023-07-13 18:08:19" level=info msg="| 200 |    723.6658ms |       127.0.0.1 | GET | /kefuinfo |"
time="2023-07-13 18:08:20" level=info msg="| 200 |     14.4415ms |       127.0.0.1 | GET | /setting_config |"
time="2023-07-13 18:08:21" level=info msg="| 200 |    540.0367ms |       127.0.0.1 | GET | /configs |"
time="2023-07-13 18:08:25" level=info msg="| 200 |     15.6539ms |       127.0.0.1 | GET | /setting_deploy |"
time="2023-07-13 18:08:34" level=info msg="| 200 |     16.7191ms |       127.0.0.1 | GET | /chat_main |"
time="2023-07-13 18:08:34" level=info msg="| 200 |            0s |       127.0.0.1 | GET | /visitors_kefu_online |"
time="2023-07-13 18:08:35" level=info msg="| 200 |    368.1286ms |       127.0.0.1 | GET | /ipblacks |"
time="2023-07-13 18:08:35" level=info msg="| 200 |    726.4829ms |       127.0.0.1 | GET | /kefuinfo |"
time="2023-07-13 18:08:35" level=info msg="| 200 |    736.8887ms |       127.0.0.1 | GET | /replys |"
time="2023-07-13 18:08:36" level=info msg="| 200 |         402µs |       127.0.0.1 | GET | /visitors_kefu_online |"
time="2023-07-13 18:08:42" level=info msg="| 200 |     18.9108ms |       127.0.0.1 | GET | /chatIndex?kefu_id=kefu2 |"
time="2023-07-13 18:08:44" level=info msg="| 200 |    1.8807111s |       127.0.0.1 | POST | /visitor_login |"
time="2023-07-13 18:08:44" level=info msg="send_kefu_message <nil> {\"type\":\"notice\",\"data\":{\"avator\":\"/static/images/1.png\",\"content\":\"本机地址本机地址网友来了\",\"username\":\"本机地址本机地址网友\"}}"
time="2023-07-13 18:08:44" level=info msg="| 404 |            0s |       127.0.0.1 | GET | /favicon.ico |"
time="2023-07-13 18:08:44" level=info msg="send_kefu_message <nil> {\"type\":\"userOnline\",\"data\":{\"avator\":\"/static/images/1.png\",\"last_message\":\"新访客\",\"uid\":\"66cae002-f2fe-419f-8b7f-390c0a3e4b46\",\"username\":\"本机地址本机地址网友\"}}"
time="2023-07-13 18:08:45" level=info msg="| 200 |    721.8826ms |       127.0.0.1 | GET | /2/messagesPages?page=1&pagesize=5&visitor_id=66cae002-f2fe-419f-8b7f-390c0a3e4b46 |"
time="2023-07-13 18:08:46" level=info msg="| 200 |    357.5255ms |       127.0.0.1 | GET | /notice?kefu_id=kefu2 |"
time="2023-07-13 18:08:46" level=info msg="send_kefu_message <nil> {\"type\":\"userOnline\",\"data\":{\"avator\":\"/static/images/1.png\",\"last_message\":\"新访客\",\"uid\":\"66cae002-f2fe-419f-8b7f-390c0a3e4b46\",\"username\":\"本机地址本机地址网友\"}}"
time="2023-07-13 18:08:51" level=info msg="send_kefu_message <nil> {\"type\":\"message\",\"data\":{\"name\":\"本机地址本机地址网友\",\"avator\":\"/static/images/1.png\",\"id\":\"66cae002-f2fe-419f-8b7f-390c0a3e4b46\",\"visitor_id\":\"\",\"group\":\"\",\"time\":\"2023-07-13 18:08:51\",\"to_id\":\"kefu2\",\"content\":\"1\",\"city\":\"\",\"client_ip\":\"\",\"refer\":\"\",\"is_kefu\":\"no\"}}"
time="2023-07-13 18:08:51" level=info msg="| 200 |    1.9923503s |       127.0.0.1 | POST | /2/message |"
time="2023-07-13 18:08:51" level=info msg="| 404 |            0s |       127.0.0.1 | GET | /favicon.ico |"
time="2023-07-13 18:08:55" level=info msg="| 200 |    361.2406ms |       127.0.0.1 | GET | /visitor?visitorId=66cae002-f2fe-419f-8b7f-390c0a3e4b46 |"
time="2023-07-13 18:08:55" level=info msg="| 200 |    731.9502ms |       127.0.0.1 | GET | /2/messagesPages?page=1&pagesize=15&visitor_id=66cae002-f2fe-419f-8b7f-390c0a3e4b46 |"
time="2023-07-13 18:09:00" level=info msg="send_kefu_message <nil> {\"type\":\"message\",\"data\":{\"name\":\"智能客服系统\",\"avator\":\"/static/images/4.jpg\",\"id\":\"66cae002-f2fe-419f-8b7f-390c0a3e4b46\",\"visitor_id\":\"\",\"group\":\"\",\"time\":\"2023-07-13 18:09:00\",\"to_id\":\"66cae002-f2fe-419f-8b7f-390c0a3e4b46\",\"content\":\"1\",\"city\":\"\",\"client_ip\":\"\",\"refer\":\"\",\"is_kefu\":\"yes\"}}"
time="2023-07-13 18:09:00" level=info msg="| 200 |    2.0231187s |       127.0.0.1 | POST | /2/message |"
time="2023-07-13 18:09:01" level=info msg="| 200 |     15.5387ms |       127.0.0.1 | GET | /setting |"
time="2023-07-13 18:09:01" level=info msg="| 200 |   26.1942039s |       127.0.0.1 | GET | /ws_kefu?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjcmVhdGVfdGltZSI6MTY4OTI0Mjg2OCwia2VmdV9pZCI6MSwibmFtZSI6ImtlZnUyIiwicm9sZV9pZCI6MSwidHlwZSI6ImtlZnUifQ.eYcBkfhHYyyXZ7wmEG9L6zT10rFWkGwjvhCBpMWerWY |"
time="2023-07-13 18:09:02" level=info msg="| 200 |     12.7201ms |       127.0.0.1 | GET | /setting_statistics |"
time="2023-07-13 18:09:02" level=info msg="| 200 |     369.235ms |       127.0.0.1 | GET | /statistics |"
time="2023-07-13 18:09:03" level=info msg="| 200 |     16.6745ms |       127.0.0.1 | GET | /setting_modifypass |"
time="2023-07-13 18:09:04" level=info msg="| 200 |     15.3021ms |       127.0.0.1 | GET | /setting_avator |"
time="2023-07-13 18:09:05" level=info msg="| 200 |    726.9498ms |       127.0.0.1 | GET | /kefuinfo |"
time="2023-07-13 18:09:06" level=info msg="| 200 |     15.9483ms |       127.0.0.1 | GET | /setting_config |"
time="2023-07-13 18:09:07" level=info msg="| 200 |    548.9593ms |       127.0.0.1 | GET | /configs |"
time="2023-07-13 18:09:19" level=info msg="| 200 |     16.0388ms |       127.0.0.1 | GET | /setting_deploy |"
time="2023-07-13 18:09:27" level=info msg="| 200 |     17.0987ms |       127.0.0.1 | GET | /chat_main |"
time="2023-07-13 18:09:28" level=info msg="| 200 |    730.7532ms |       127.0.0.1 | GET | /visitors_kefu_online |"
time="2023-07-13 18:09:28" level=info msg="| 200 |    759.4584ms |       127.0.0.1 | GET | /kefuinfo |"
time="2023-07-13 18:09:28" level=info msg="| 200 |    1.0941775s |       127.0.0.1 | GET | /ipblacks |"
time="2023-07-13 18:09:28" level=info msg="| 200 |    1.4292121s |       127.0.0.1 | GET | /replys |"
time="2023-07-13 18:09:29" level=info msg="| 200 |     14.9384ms |       127.0.0.1 | GET | /setting |"
time="2023-07-13 18:09:29" level=info msg="| 200 |    749.0709ms |       127.0.0.1 | GET | /ws_kefu?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjcmVhdGVfdGltZSI6MTY4OTI0Mjg2OCwia2VmdV9pZCI6MSwibmFtZSI6ImtlZnUyIiwicm9sZV9pZCI6MSwidHlwZSI6ImtlZnUifQ.eYcBkfhHYyyXZ7wmEG9L6zT10rFWkGwjvhCBpMWerWY |"
time="2023-07-13 18:09:29" level=info msg="| 200 |     11.5362ms |       127.0.0.1 | GET | /setting_statistics |"
time="2023-07-13 18:09:29" level=info msg="| 200 |    360.3591ms |       127.0.0.1 | GET | /statistics |"
time="2023-07-13 18:09:31" level=info msg="| 200 |     14.3635ms |       127.0.0.1 | GET | /setting_avator |"
time="2023-07-13 18:09:31" level=info msg="| 200 |    708.9593ms |       127.0.0.1 | GET | /kefuinfo |"
time="2023-07-13 18:09:38" level=info msg="| 200 |     14.7514ms |       127.0.0.1 | GET | /setting_modifypass |"
time="2023-07-13 18:09:39" level=info msg="| 200 |     13.6105ms |       127.0.0.1 | GET | /setting_avator |"
time="2023-07-13 18:09:40" level=info msg="| 200 |    718.0946ms |       127.0.0.1 | GET | /kefuinfo |"
time="2023-07-13 18:09:49" level=info msg="| 200 |     22.4942ms |       127.0.0.1 | GET | /chatIndex?kefu_id=kefu2 |"
time="2023-07-13 18:09:52" level=info msg="| 200 |    1.8269965s |       127.0.0.1 | POST | /visitor_login |"
time="2023-07-13 18:09:53" level=info msg="| 200 |    722.3983ms |       127.0.0.1 | GET | /2/messagesPages?page=1&pagesize=5&visitor_id=a8bd1b22-f7ce-45a9-b4b2-a2cf7a2dbece |"
time="2023-07-13 18:09:53" level=info msg="| 200 |    362.6803ms |       127.0.0.1 | GET | /notice?kefu_id=kefu2 |"
time="2023-07-13 18:09:53" level=info msg="| 404 |            0s |       127.0.0.1 | GET | /favicon.ico |"
time="2023-07-13 18:09:57" level=info msg="| 200 |    1.9588514s |       127.0.0.1 | POST | /2/message |"
time="2023-07-13 18:10:00" level=info msg="| 200 |     22.7419ms |       127.0.0.1 | GET | /chat_main |"
time="2023-07-13 18:10:01" level=info msg="| 200 |    707.0551ms |       127.0.0.1 | GET | /kefuinfo |"
time="2023-07-13 18:10:01" level=info msg="| 200 |    738.7164ms |       127.0.0.1 | GET | /visitors_kefu_online |"
time="2023-07-13 18:10:01" level=info msg="| 200 |    742.8159ms |       127.0.0.1 | GET | /replys |"
time="2023-07-13 18:10:01" level=info msg="| 200 |    1.0975929s |       127.0.0.1 | GET | /ipblacks |"
time="2023-07-13 18:10:02" level=info msg="| 200 |    378.8134ms |       127.0.0.1 | GET | /visitor?visitorId=66cae002-f2fe-419f-8b7f-390c0a3e4b46 |"
time="2023-07-13 18:10:03" level=info msg="| 200 |    734.0095ms |       127.0.0.1 | GET | /2/messagesPages?page=1&pagesize=15&visitor_id=66cae002-f2fe-419f-8b7f-390c0a3e4b46 |"
time="2023-07-13 18:10:03" level=info msg="| 200 |     376.846ms |       127.0.0.1 | GET | /visitor?visitorId=a8bd1b22-f7ce-45a9-b4b2-a2cf7a2dbece |"
time="2023-07-13 18:10:03" level=info msg="| 200 |    755.7952ms |       127.0.0.1 | GET | /2/messagesPages?page=1&pagesize=15&visitor_id=a8bd1b22-f7ce-45a9-b4b2-a2cf7a2dbece |"
time="2023-07-13 18:10:03" level=info msg="| 200 |    363.2364ms |       127.0.0.1 | GET | /visitor?visitorId=66cae002-f2fe-419f-8b7f-390c0a3e4b46 |"
time="2023-07-13 18:10:04" level=info msg="| 200 |    714.3165ms |       127.0.0.1 | GET | /2/messagesPages?page=1&pagesize=15&visitor_id=66cae002-f2fe-419f-8b7f-390c0a3e4b46 |"
time="2023-07-13 18:10:08" level=info msg="| 200 |    356.0419ms |       127.0.0.1 | GET | /visitor?visitorId=a8bd1b22-f7ce-45a9-b4b2-a2cf7a2dbece |"
time="2023-07-13 18:10:08" level=info msg="| 200 |    722.4517ms |       127.0.0.1 | GET | /2/messagesPages?page=1&pagesize=15&visitor_id=a8bd1b22-f7ce-45a9-b4b2-a2cf7a2dbece |"
time="2023-07-13 18:10:08" level=info msg="| 200 |     359.239ms |       127.0.0.1 | GET | /visitor?visitorId=66cae002-f2fe-419f-8b7f-390c0a3e4b46 |"
time="2023-07-13 18:10:09" level=info msg="| 200 |    742.8922ms |       127.0.0.1 | GET | /2/messagesPages?page=1&pagesize=15&visitor_id=66cae002-f2fe-419f-8b7f-390c0a3e4b46 |"
time="2023-07-13 18:10:19" level=info msg="| 200 |     10.8298ms |       127.0.0.1 | GET | /setting |"
time="2023-07-13 18:10:19" level=info msg="| 200 |   17.8339703s |       127.0.0.1 | GET | /ws_kefu?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjcmVhdGVfdGltZSI6MTY4OTI0Mjg2OCwia2VmdV9pZCI6MSwibmFtZSI6ImtlZnUyIiwicm9sZV9pZCI6MSwidHlwZSI6ImtlZnUifQ.eYcBkfhHYyyXZ7wmEG9L6zT10rFWkGwjvhCBpMWerWY |"
time="2023-07-13 18:10:19" level=info msg="| 200 |     16.4053ms |       127.0.0.1 | GET | /setting_statistics |"
time="2023-07-13 18:10:19" level=info msg="| 200 |    373.6314ms |       127.0.0.1 | GET | /statistics |"
time="2023-07-13 18:10:27" level=info msg="| 200 |     12.6261ms |       127.0.0.1 | GET | /setting_modifypass |"
time="2023-07-13 18:10:28" level=info msg="| 200 |     14.5556ms |       127.0.0.1 | GET | /setting_avator |"
time="2023-07-13 18:10:29" level=info msg="| 200 |    724.4504ms |       127.0.0.1 | GET | /kefuinfo |"
time="2023-07-13 18:10:33" level=info msg="| 200 |       14.52ms |       127.0.0.1 | GET | /setting_config |"
time="2023-07-13 18:10:34" level=info msg="| 200 |    545.0704ms |       127.0.0.1 | GET | /configs |"
time="2023-07-13 18:10:37" level=info msg="| 200 |     16.5719ms |       127.0.0.1 | GET | /setting_ipblack |"
time="2023-07-13 18:10:37" level=info msg="| 200 |    360.6689ms |       127.0.0.1 | GET | /ipblacks_all |"
time="2023-07-13 18:10:38" level=info msg="| 200 |     14.6852ms |       127.0.0.1 | GET | /setting_deploy |"
time="2023-07-13 18:11:24" level=info msg="| 200 | 1m31.9398319s |       127.0.0.1 | GET | /ws_visitor?visitor_id=a8bd1b22-f7ce-45a9-b4b2-a2cf7a2dbece |"
time="2023-07-13 18:11:27" level=info msg="| 200 | 2m42.4430192s |       127.0.0.1 | GET | /ws_visitor?visitor_id=66cae002-f2fe-419f-8b7f-390c0a3e4b46 |"
time="2023-07-13 18:11:35" level=info msg="| 200 |     13.6968ms |       127.0.0.1 | GET | /main |"
time="2023-07-13 18:11:35" level=info msg="| 200 |     20.5796ms |       127.0.0.1 | GET | /chat_main |"
time="2023-07-13 18:11:35" level=info msg="| 200 |    363.9929ms |       127.0.0.1 | POST | /check_auth |"
time="2023-07-13 18:11:36" level=info msg="| 200 |            0s |       127.0.0.1 | GET | /visitors_kefu_online |"
time="2023-07-13 18:11:37" level=info msg="| 200 |    733.9239ms |       127.0.0.1 | GET | /kefuinfo |"
time="2023-07-13 18:11:37" level=info msg="| 200 |    1.0973886s |       127.0.0.1 | GET | /ipblacks |"
time="2023-07-13 18:11:37" level=info msg="| 200 |    1.4596612s |       127.0.0.1 | GET | /replys |"
time="2023-07-13 18:11:53" level=info msg="| 200 |     14.0463ms |       127.0.0.1 | GET | /chatIndex?kefu_id=kefu |"
time="2023-07-13 18:11:55" level=info msg="| 200 |     736.206ms |       127.0.0.1 | POST | /visitor_login |"
time="2023-07-13 18:11:56" level=info msg="| 200 |     18.0373ms |       127.0.0.1 | GET | /chatIndex?kefu_id=kefu2 |"
time="2023-07-13 18:11:58" level=info msg="| 200 |    1.8062514s |       127.0.0.1 | POST | /visitor_login |"
time="2023-07-13 18:11:58" level=info msg="send_kefu_message <nil> {\"type\":\"notice\",\"data\":{\"avator\":\"/static/images/1.png\",\"content\":\"本机地址本机地址网友来了\",\"username\":\"本机地址本机地址网友\"}}"
time="2023-07-13 18:11:58" level=info msg="| 404 |            0s |       127.0.0.1 | GET | /favicon.ico |"
time="2023-07-13 18:11:58" level=info msg="send_kefu_message <nil> {\"type\":\"userOnline\",\"data\":{\"avator\":\"/static/images/1.png\",\"last_message\":\"1\",\"uid\":\"66cae002-f2fe-419f-8b7f-390c0a3e4b46\",\"username\":\"本机地址本机地址网友\"}}"
time="2023-07-13 18:11:59" level=info msg="| 200 |    732.3862ms |       127.0.0.1 | GET | /2/messagesPages?page=1&pagesize=5&visitor_id=66cae002-f2fe-419f-8b7f-390c0a3e4b46 |"
time="2023-07-13 18:11:59" level=info msg="| 200 |    360.9458ms |       127.0.0.1 | GET | /notice?kefu_id=kefu2 |"
time="2023-07-13 18:11:59" level=info msg="send_kefu_message <nil> {\"type\":\"userOnline\",\"data\":{\"avator\":\"/static/images/1.png\",\"last_message\":\"1\",\"uid\":\"66cae002-f2fe-419f-8b7f-390c0a3e4b46\",\"username\":\"本机地址本机地址网友\"}}"
time="2023-07-13 18:12:06" level=info msg="| 200 |    361.3771ms |       127.0.0.1 | GET | /visitor?visitorId=66cae002-f2fe-419f-8b7f-390c0a3e4b46 |"
time="2023-07-13 18:12:06" level=info msg="| 200 |    727.1346ms |       127.0.0.1 | GET | /2/messagesPages?page=1&pagesize=15&visitor_id=66cae002-f2fe-419f-8b7f-390c0a3e4b46 |"
time="2023-07-13 18:13:37" level=info msg="| 200 |    717.7527ms |       127.0.0.1 | GET | /visitors_kefu_online |"
time="2023-07-13 18:14:18" level=info msg="| 200 |    1.0545169s |       127.0.0.1 | POST | /ipblack |"
time="2023-07-13 18:14:21" level=info msg="| 200 |    347.9057ms |       127.0.0.1 | POST | /ipblack |"
time="2023-07-13 18:14:44" level=info msg="| 200 |     13.9823ms |       127.0.0.1 | GET | /setting |"
time="2023-07-13 18:14:44" level=info msg="| 200 |  3m6.8279373s |       127.0.0.1 | GET | /ws_kefu?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjcmVhdGVfdGltZSI6MTY4OTI0Mjg2OCwia2VmdV9pZCI6MSwibmFtZSI6ImtlZnUyIiwicm9sZV9pZCI6MSwidHlwZSI6ImtlZnUifQ.eYcBkfhHYyyXZ7wmEG9L6zT10rFWkGwjvhCBpMWerWY |"
time="2023-07-13 18:14:44" level=info msg="| 200 |     14.3355ms |       127.0.0.1 | GET | /setting_statistics |"
time="2023-07-13 18:14:44" level=info msg="| 200 |    353.9412ms |       127.0.0.1 | GET | /statistics |"
time="2023-07-13 18:14:45" level=info msg="| 200 |     13.9919ms |       127.0.0.1 | GET | /setting_modifypass |"
time="2023-07-13 18:14:46" level=info msg="| 200 |     15.0781ms |       127.0.0.1 | GET | /setting_avator |"
time="2023-07-13 18:14:46" level=info msg="| 200 |    704.5273ms |       127.0.0.1 | GET | /kefuinfo |"
time="2023-07-13 18:14:47" level=info msg="| 200 |     11.7212ms |       127.0.0.1 | GET | /setting_config |"
time="2023-07-13 18:14:48" level=info msg="| 200 |     14.5849ms |       127.0.0.1 | GET | /setting_ipblack |"
time="2023-07-13 18:14:48" level=info msg="| 200 |    532.5697ms |       127.0.0.1 | GET | /configs |"
time="2023-07-13 18:14:49" level=info msg="| 200 |    1.0836197s |       127.0.0.1 | GET | /ipblacks_all |"
time="2023-07-13 18:14:50" level=info msg="| 200 |     15.2154ms |       127.0.0.1 | GET | /setting_deploy |"
time="2023-07-13 18:14:50" level=info msg="| 200 |     14.4224ms |       127.0.0.1 | GET | /setting_ipblack |"
time="2023-07-13 18:14:51" level=info msg="| 200 |    364.4132ms |       127.0.0.1 | GET | /ipblacks_all |"
time="2023-07-13 18:14:53" level=info msg="| 200 |    1.0886102s |       127.0.0.1 | DELETE | /ipblack?ip=127.0.0.1 |"
time="2023-07-13 18:14:53" level=info msg="| 200 |    362.5424ms |       127.0.0.1 | GET | /ipblacks_all |"
time="2023-07-13 18:14:54" level=info msg="| 200 |     13.0086ms |       127.0.0.1 | GET | /setting_deploy |"
time="2023-07-13 18:15:06" level=info msg="| 200 |  3m8.4788081s |       127.0.0.1 | GET | /ws_visitor?visitor_id=66cae002-f2fe-419f-8b7f-390c0a3e4b46 |"
time="2023-07-13 18:16:08" level=info msg="| 200 |     16.4334ms |       127.0.0.1 | GET | /login |"
time="2023-07-13 18:40:29" level=info msg="start server...\r\ngo：http://0.0.0.0:8081"
time="2023-07-13 18:47:06" level=info msg="| 200 |     14.4338ms |       127.0.0.1 | GET | /login |"
time="2023-07-13 18:47:06" level=info msg="| 200 |     12.1514ms |       127.0.0.1 | GET | /install |"
time="2023-07-13 18:48:42" level=info msg="| 200 |     14.5641ms |       127.0.0.1 | GET | /install |"
time="2023-07-13 18:48:42" level=info msg="| 200 |     11.0304ms |       127.0.0.1 | GET | /login |"
time="2023-07-13 18:48:45" level=info msg="| 200 |     14.7659ms |       127.0.0.1 | GET | /login |"
